0u,0
0.001u,0
30u,0
30.001u,0
60u,0
60.001u,0
90u,0
90.001u,0
120u,0
120.001u,0
150u,0
150.001u,0
180u,0
180.001u,0
210u,0
210.001u,0
240u,0
240.001u,1
270u,-1
270.001u,0
300u,0
300.001u,1
330u,1
330.001u,0
360u,0
360.001u,1
390u,1
390.001u,0
420u,0
420.001u,0
450u,0
450.001u,1
480u,1
480.001u,0
510u,0
510.001u,0
540u,0
540.001u,1
570u,1
570.001u,0
600u,0
600.001u,0
630u,0
630.001u,0
660u,0
660.001u,1
690u,1
690.001u,1
720u,1
720.001u,1
750u,1
750.001u,0
780u,0
780.001u,0
810u,0
810.001u,0
840u,0
840.001u,1
870u,1
870.001u,0
900u,0
900.001u,0
930u,0
930.001u,0
960u,1
960.001u,1
990u,0
990.001u,0
1020u,1
1020.001u,1
1050u,0
1050.001u,0
1080u,1
1080.001u,1
1110u,0
1110.001u,0
1140u,0
1140.001u,0
1170u,1
1170.001u,1
1200u,0
1200.001u,0
1230u,0
1230.001u,0
1260u,1
1260.001u,1
1290u,0
1290.001u,0
1320u,0
1320.001u,0
1350u,0
1350.001u,0
1380u,1
1380.001u,1
1410u,1
1410.001u,1
1440u,1
1440.001u,1
1470u,0
1470.001u,0
1500u,0
1500.001u,0
1530u,0
1530.001u,0
1560u,1
1560.001u,1
1590u,0
1590.001u,0
1620u,0
1620.001u,0
1650u,0
1650.001u,1
1680u,1
1680.001u,0
1710u,0
1710.001u,1
1740u,1
1740.001u,0
1770u,0
1770.001u,1
1800u,1
1800.001u,0
1830u,0
1830.001u,0
1860u,0
1860.001u,1
1890u,1
1890.001u,0
1920u,0
1920.001u,0
1950u,0
1950.001u,1
1980u,1
1980.001u,0
2010u,0
2010.001u,0
2040u,0
2040.001u,0
2070u,0
2070.001u,1
2100u,1
2100.001u,1
2130u,1
2130.001u,1
2160u,1
2160.001u,0
2190u,0
2190.001u,0
2220u,0
2220.001u,0
2250u,0
2250.001u,1
2280u,1
2280.001u,0
2310u,0
2310.001u,0
2340u,0
2340.001u,0
2370u,0
2370.001u,0
2400u,0
2400.001u,0
2430u,0
2430.001u,0
2460u,0
2460.001u,0
2490u,0
2490.001u,0
2520u,0
2520.001u,0
2550u,0
2550.001u,0
2580u,0
2580.001u,0
2610u,0
2610.001u,0
2640u,0
2640.001u,0
2670u,0
2670.001u,0
2700u,0
2700.001u,0
2730u,0
2730.001u,0
2760u,0
2760.001u,0
2790u,0
2790.001u,0
2820u,0
2820.001u,0
2850u,0
2850.001u,0
2880u,0
2880.001u,0
2910u,0
2910.001u,0
2940u,0
2940.001u,0
2970u,0
2970.001u,0
3000u,0
3000.001u,0
