Op_type,Approx_level,MSE,SSIM,PSNR,Sum_energy,Sum_proctime
EDGE,0,22.5631962748321,0.938289793895979,34.5967973957267,3076178865908.77,138143964
EDGE,1,28.9496840990928,0.915336570275196,33.514365318293,3068521884951.53,138144804
EDGE,2,636.664671168243,0.323804001043208,20.0916960954714,3846763099840.97,138144720
EDGE,3,6053.99456762809,0.083467688577268,10.3103833394841,6824834046724.66,137982558
EDGE,4,1308.84283501201,0.24016893610318,16.9619286098249,5889463449773.55,137947404
EDGE,5,21589.0865848777,0.00699511721217255,4.78846092759665,12849665245301.8,138024936
EDGE,6,20613.6357980349,0.00682256664453715,4.98925762210271,12682924016671.6,138024936
EDGE,7,15032.5684802575,0.00607841638974014,6.36047169934927,11352260501330.4,138008304
CONV_3,0,0.160930605695949,0.999748294670467,56.064417150233,87516922120.52,28133742
CONV_3,1,1.56504880331595,0.998239209885502,46.185524760587,87213120503.09,28133742
CONV_3,2,102.800962695548,0.901847020964458,28.0108317917163,86906486037.11,28133742
CONV_3,3,996.593809332799,0.678405019124235,18.1456217578619,86619652516.12,28133742
CONV_3,4,4605.7086776307,0.292042813378726,11.4978389656204,86468213087.7999,28133742
CONV_3,5,4605.7086776307,0.292042813378726,11.4978389656204,86402503358.9001,28133742
CONV_3,6,4605.7086776307,0.292042813378726,11.4978389656204,86354822816.7,28133742
CONV_3,7,4605.7086776307,0.292042813378726,11.4978389656204,86307142274.5,28133742
CONV_5,0,0.198997192137986,0.99956707374084,55.142334123355,1072478971944.8,78369774
CONV_5,1,0.683513838748496,0.998459156982799,49.78333048941,1068173468666.77,78369774
CONV_5,2,48.1475330926594,0.9303147330405,31.3050632053283,1063466622181.79,78369774
CONV_5,3,784.395774836208,0.719341987379631,19.1513218757389,1058955918118.64,78369774
CONV_5,4,4522.9353656906,0.201119543978496,11.5765997929588,1055761506206.98,78369774
CONV_5,5,2752.94862949592,0.202800908309934,13.7328225341014,1054905741987.38,78369774
CONV_5,6,2752.94862949592,0.202800908309934,13.7328225341014,1054322753222.13,78369774
CONV_5,7,2752.94862949592,0.202800908309934,13.7328225341014,1053739764456.88,78369774
